,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
0,118,GAS,1,CITY_LINK,65009,97009,7,Aug-15,11,Nov-15,
1,118,GAS,2,CITY_LINK,97009,65009,10,10-Dec,8,Oct-15,
2,118A,GAS,1,CITY_LINK,65199,96119,15,-,0,-,
3,118B,GAS,1,CITY_LINK,96111,65191,0,-,30,-,
4,119,GAS,1,CITY_LINK,65009,65009,12,18-Dec,14,15-17,Hougang St 21
5,12,GAS,1,CITY_LINK,77009,10499,9,Sep-14,9,Nov-13,
6,12,GAS,2,EXPRESS,10499,77009,10,Aug-15,11,Oct-14,
7,12e,GAS,1,EXPRESS,77009,10499,25,30,25,20-30,
8,12e,GAS,2,EXPRESS,10499,77009,25,20-30,25,20-30,
9,136,GAS,1,EXPRESS,54009,65009,13,Oct-13,12,15-19,
10,136,GAS,2,EXPRESS,65009,54009,13,Nov-16,10,17-20,
11,15,GAS,1,EXPRESS,77009,77009,7,Mar-13,10,13-16,Marine Parade Rd
12,15A,GAS,1,EXPRESS,77009,83109,13,110,0,-,Marine Parade Rd
13,17,GAS,1,EXPRESS,77009,84009,9,10-Dec,10,Nov-15,
14,17,GAS,2,EXPRESS,84009,77009,8,5-Dec,8,5-Dec,
15,17A,GAS,1,EXPRESS,84009,84591,12,Oct-46,16,22-24,Bedok Nth Dr
16,2,GAS,1,EXPRESS,99009,10499,10,Sep-16,13,14-18,
17,2,GAS,2,EXPRESS,10499,99009,10,Sep-17,10,Dec-18,
18,2A,GAS,1,EXPRESS,10499,85091,22,-,18,-,
19,3,GAS,1,EXPRESS,75009,65009,9,Sep-14,8,Dec-14,
20,3,GAS,2,EXPRESS,65009,75009,9,Sep-15,10,Dec-17,
21,34,GAS,1,EXPRESS,65009,65009,6,May-14,11,Dec-14,PTB2 Basement
22,34A,GAS,1,EXPRESS,65009,76059,31,26-39,0,00-00,PTB2 Basement
23,34B,GAS,1,EXPRESS,75359,75351,6,Apr-15,11,Nov-14,
24,354,GAS,1,EXPRESS,77009,77009,7,7-Sep,7,Aug-15,Jln Loyang Besar
